Repo_Name,score,score_description
ImHex,97.99250725390979,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
airflow,96.80850755177731,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
transformers,96.53174543827593,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
TDengine,96.41144201628576,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
node,96.14059849402351,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
localstack,95.8665354993074,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
gitea,95.3455466569099,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
grpc,95.0491136826194,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
vscode,92.28887975946587,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
PaddleOCR,92.22942920548401,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
next.js,92.14908825539969,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
openpilot,91.76978097754585,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
ionic-framework,91.72329631541365,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
mongoose,91.07613118335662,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
fastify,90.61852767283787,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
acme.sh,90.46531236013165,仓库活跃度高，开发与社区参与持续活跃，整体运行状态健康。具备良好的持续发展能力。
pytorch,89.51027645995372,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
protobuf,89.04637422418692,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
ansible,88.97020547708496,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
pi-hole,88.74245377086058,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
angular,88.4729728066026,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
type-challenges,86.44835579083642,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
hutool,84.88321242847708,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
penpot,84.49609985802098,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
mmdetection,82.78923263649911,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
fabric.js,80.89357102361639,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
monaco-editor,80.00124193809054,仓库整体活跃状态良好，开发节奏稳定，社区互动较为活跃。维护及时，issue/讨论/ 提交较为频繁。
spaCy,79.52977181691291,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
libuv,77.60957940348601,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
terminus,77.6037885450777,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
kubernetes,77.24380185771308,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
meilisearch,77.24087445211933,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
appwrite,75.1233953293701,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
clash,75.10089312306846,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
svelte,75.08603678353361,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
